Introduction	引言
Linear Predictor Error Variance	线性预测误差方差
Regression Coefficients	回归系数
Sometimes it is useful to separate the constant from the other regressors and write the linear projection equation in the format	有时将常数与其他自变量分开并将线性投影方程写成格式是很有用的
Taking expectations of this equation, we find	考虑这个方程的期望，我们发现
Regression Sub-Vectors	回归子向量
Let the regressors be partitioned as	让自变量被划分为
By the partitioned matrix inversion formula (A.3)	由分区矩阵求逆公式（A.3）
Coefficient Decomposition	系数分解
We now use these formulae to give a useful interpretation of the coefficients in terms of an iterated projection	我们现在使用这些公式根据迭代投影给出对系数的有用解释
Omitted Variable Bias	遗漏变量偏误
Again, let the regressors be partitioned as in (2.41)	同样，让自变量按 (2.41) 进行划分
Goldberger (1991) introduced the catchy labels long regression for (2.42) and short regression for (2.45) to emphasize the distinction	Goldberger (1991) 为 (2.42) 引入了长回归和 (2.45) 的短回归以强调区别
It is the consequence of omission of a relevant correlated variable	这是遗漏相关变量的结果
To avoid omitted variables bias the standard advice is to include all potentially relevant variables in estimated models	为避免遗漏变量偏误，标准建议是在估计模型中包含所有可能的相关变量
In this case, the possibility of omitted variables bias should be acknowledged and discussed in the course of an empirical investigation	在这种情况下，应在实证论证过程中承认和讨论遗漏变量偏误的可能性
Unfortunately, the above simple characterization of omitted variable bias does not immediately carry over to more complicated settings, as discovered by Luca, Magnus, and Peracchi (2018)	不幸的是，正如 Luca、Magnus 和 Peracchi (2018) 所发现的，上述对遗漏变量偏误的简单特征并没有立即延续到更复杂的设定
We can call them short, medium, and long regressions	我们可以称它们为短的、居中的和长的回归
Thus as a general rule it is unknown if estimation of the medium regression will be less biased than estimation of the short regression	因此，作为一般规则，居中的回归的估计是否会比短回归的估计更小偏误是未知的
